Recession,Type,PopShare_pct,LFShare_pct,UR_peak_pct,UR_trough_pct,dUR_pp,Contribution_pp,Share_pct
1980,High-N,4.90493177254483,3.12363299536695,11.57048096037,12.6524100231597,1.08192906278971,0.0940521328924825,9.99083845757009
1980,High-U,3.99599078299392,4.15394626154873,39.4151832761846,49.8713783405097,10.4561950643251,0.439102801231559,46.644398361344
1980,High-E,12.8638045858302,14.1266475637885,7.55803489329034,10.1114441137677,2.55340922047732,0.434500086496819,46.1554676165874
1980,All-E,71.5848587819297,78.5957731792958,0.181361634475271,0.151418266423973,-0.0299433680512981,-0.0262712389501756,-2.7907044355015
1980,All-N,6.65041407670133,0,0,0,0,0,0
1981-82,High-N,5.27107609783402,3.03329662799746,11.57048096037,15.0406755559008,3.47019459553087,0.15506558316513,5.01270471141271
1981-82,High-U,4.00139132045882,3.93139928254728,39.4151832761846,66.602373370277,27.1871900940924,0.985877773911661,31.8698325011386
1981-82,High-E,13.099596050254,14.4376164705957,7.55803489329034,20.1846755135896,12.6266406202992,1.92027804942174,62.0755852400092
1981-82,All-E,70.806316105936,78.5976876188595,0.181361634475271,0.22584579387426,0.0444841593989895,0.0322299753888415,1.0418775474395
1981-82,All-N,6.82162042551715,0,0,0,0,0,0
1990-91,High-N,6.91872556163538,3.38955531834769,11.3339797374654,28.8544662654101,17.5204865279447,0.567517082845913,14.3032084368921
1990-91,High-U,4.02569373905083,3.52055392025882,43.3902662156631,44.4022643298112,1.01199811414809,-0.234274485655265,-5.90445098668994
1990-91,High-E,14.160657640161,15.5587675016834,6.89080368952183,28.3157841161541,21.4249804266323,3.34473343018585,84.2977610081537
1990-91,All-E,67.3028740639644,77.5311232597101,0.0756794618751769,0.448770608926265,0.373091147051088,0.289784670161278,7.30348154164405
1990-91,All-N,7.59204899518838,0,0,0,0,0,0
2001,High-N,8.74944718808136,5.00033670470286,8.97479340633217,8.65673676253078,-0.318056643801388,-0.0220062636787211,-2.99612890393224
2001,High-U,4.05269642637528,4.35909581941153,33.5873108065585,41.6504544886003,8.06314368204178,0.386186111521225,52.578819735981
2001,High-E,15.33961496228,17.469068133545,2.12233030085293,6.02672715809887,3.90439685724595,0.689811548453382,93.9170932767604
2001,All-E,63.4101606839959,73.1714993423407,0.66784387669764,0.234851715843553,-0.432992160854086,-0.319501513372652,-43.4997841088092
2001,All-N,8.44808073926751,0,0,0,0,0,0
2007-09,High-N,10.2140244892381,6.52160496198702,9.5122877775351,19.2184708468586,9.70618306932349,0.624581121021457,15.0657886620931
2007-09,High-U,4.07429857623486,4.3346911424218,37.3783770444815,71.6430109514219,34.2646339069404,1.51016062774932,36.4272311437724
2007-09,High-E,16.2827808199751,18.5159013740271,4.32253118861486,17.0635031834421,12.7409719948273,2.37689062868386,57.3339966249644
2007-09,All-E,60.2959899800211,70.627802521564,0.822403850609657,0.308814066992952,-0.513589783616705,-0.365940870491184,-8.8270164308299
2007-09,All-N,9.1329061345308,0,0,0,0,0,0
2020,High-N,12.2278182783287,8.59534484299307,4.05455811907963,8.81124357532971,4.75668545625008,0.359680849812968,30.2706598655123
2020,High-U,4.10400153229175,3.91749627378018,34.3315756553966,62.778113491184,28.4465378357874,1.00080406535131,84.2274462763996
2020,High-E,17.5796338743059,20.3108736806467,4.18938252209626,7.90017792033434,3.71079539823808,0.760812706023196,64.0298271575031
2020,All-E,56.0140052620557,67.1762852025801,1.94152013329193,0.512812365695269,-1.42870776759667,-0.933081535344048,-78.527933299415
2020,All-N,10.0745410530178,0,0,0,0,0,0
