Year,ExitFlag,FirstOrderOpt,NewFval,OldFval,DeltaFval,BestCand,Seconds
1976,1,0.000999999999998373,1.42547429060577,1.4243090716563,0.00116521894947375,1,554.0377695
1978,1,0.000999999999986867,1.34207364634963,1.34095346953714,0.00112017681248822,1,942.8094771
1979,1,0.000999999999999708,1.45251657446604,1.4512826722077,0.00123390225833875,1,899.805035
1980,1,0.000999999999999939,1.57889945607267,1.57213892370311,0.00676053236956231,3,973.6861542
1981,1,0.00099999999991232,1.70328059719975,1.70386421644812,-0.000583619248363698,3,747.4984335
1982,1,0.000999999999996869,1.85799961673096,1.85658659281701,0.00141302391395048,1,715.2284076
1983,1,0.00099999999999995,1.71445549365499,1.71335303121922,0.00110246243576873,1,893.2440984
1984,1,0.000859365996142003,1.70203386045828,1.7229441012136,-0.0209102407553248,2,1149.6490688
1985,1,0.00099999999969442,1.761401624053,1.76053952685362,0.000862097199380019,1,918.5693576
1986,1,0.00084951573075613,1.61201640690705,1.61201640690705,-2.22044604925031e-16,1,659.7736939
1987,1,0.000999999999759824,1.50969548868189,1.52232390423777,-0.0126284155558791,3,750.4916813
1988,1,0.000999999999999273,1.5031116720805,1.50193932996023,0.00117234212026429,1,995.3928023
1989,1,0.000999999999996546,1.51143481384971,1.51919035809144,-0.0077555442417292,3,694.4654778
1990,1,0.000999999999993881,1.61185428714579,1.61072683481412,0.00112745233166689,1,356.6631796
1991,1,0.000999999999920208,1.72564871019071,1.72462521780065,0.00102349239006427,1,632.3917282
1992,1,0.000999999999997582,1.72136781186242,1.72744653618863,-0.00607872432620926,2,860.1305007
1994,1,0.000999999999743433,1.81779859811931,1.81654530495892,0.0012532931603968,1,934.608659
1995,1,0.000999999999999944,1.59843048131421,1.59718063635166,0.00124984496254266,1,777.1114536
1996,1,0.00099999999997169,1.55343097116288,1.5521634469131,0.00126752424978172,1,1116.5126995
1997,1,0.000999999999999277,1.50758025114276,1.50641369704734,0.00116655409542021,1,454.4946231
1998,1,0.000999999999939582,1.50297591494847,1.5020182518062,0.000957663142274745,1,732.3445045
1999,1,0.000999999999999956,1.52877363625501,1.52780924382499,0.000964392430019334,1,444.6483756
2000,1,0.000999999999979924,1.5962658904467,1.59516269788043,0.00110319256627212,1,389.8687281
2001,1,0.000999999999880284,1.67968828447743,1.67851425559251,0.00117402888492291,1,751.3995771
2002,1,0.000999999999966333,1.76061463244113,1.75966105723126,0.000953575209875712,1,837.9553488
2003,1,0.000999999999998602,1.92249461575942,1.92136956392836,0.00112505183105727,6,1098.0696358
2004,1,0.000984536651959632,1.65651992653457,1.65649334671603,2.65798185459243e-05,1,895.272822
2005,1,0.000999999999994474,1.63576092453324,1.6343519311333,0.00140899339994038,1,1031.0508451
2006,1,0.00099999999983091,1.6265033273069,1.62540777876279,0.00109554854410687,1,934.0603822
2007,1,0.000999999999956647,1.68336638065753,1.68245256189856,0.000913818758967233,1,754.3082303
2008,1,0.000999999999108722,2.02551276855283,2.02060810267369,0.00490466587913962,3,986.908214
2009,1,0.000742988606194928,2.13119742939435,2.13656031804612,-0.00536288865177159,1,1937.8860373
2010,1,0.000999999999981264,2.09678834884568,2.11507084833711,-0.0182824994914328,2,704.4675743
2011,1,0.00088319027424788,2.01405940705537,2.02921177235542,-0.0151523653000458,5,2176.7412605
2012,1,0.000999999999999296,1.97721930085311,1.97027271834398,0.00694658250912306,5,981.9230547
2013,1,0.000999999999931454,1.88061569718067,1.89255038615944,-0.0119346889787684,3,924.0481625
2014,1,0.000999999999998916,1.82803483472627,1.82693023677435,0.00110459795192197,1,912.9667301
2015,1,0.000999999999990855,1.76334961575387,1.76852088691801,-0.00517127116414451,2,638.9538131
2016,1,0.000999999999917431,1.7466986706763,1.74662161052345,7.70601528539139e-05,3,886.9773814
2017,1,0.000999999999985668,1.66927824638124,1.66764209595871,0.00163615042252285,1,685.3180195
2018,1,0.000840479328356736,1.64726635465136,1.65196397380299,-0.00469761915162858,2,1131.4997159
2019,1,0.000999999999952235,1.96273622343336,1.96173942193635,0.00099680149700454,1,836.4058573
2020,1,0.000999999999999248,2.11313392896713,2.1122525971119,0.000881331855231871,1,1194.5735961
2021,1,0.000999999999997909,1.73912091701247,1.73755462410137,0.00156629291110177,1,550.9926305
2022,1,0.000999999999990153,1.65710506598005,1.64950594467013,0.00759912130991713,2,862.0645839
2023,1,0.000999999998308624,1.66061201294495,1.65957142677581,0.00104058616914227,1,564.0527894
2024,1,0.711834942965428,1.5763397182308,1.57850278603302,-0.00216306780221243,2,537.8810098
